测试用例ID,测试模块,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC001,作品创建,AI生成并保存作品,用户已登录小程序,1. 进入"AI创作"页面（tab-aitoy）<br>2. 点击"生成作品"或"上传作品"按钮<br>3. 完成作品上传/生成<br>4. 保存作品,作品保存成功，状态为"未获价"（PENDING），出现在"我的作品"列表中,高,验证作品创建的基本流程
TC002,作品创建,上传作品-正面图,用户已登录小程序,1. 进入"我的作品"页面<br>2. 点击"上传我的作品"按钮<br>3. 选择图片上传正面图<br>4. 保存,作品创建成功，正面图显示正常,高,验证图片上传功能
TC003,作品创建,上传作品-多角度图,用户已登录小程序,1. 进入"上传作品"页面<br>2. 依次上传正面、背面、侧面1、侧面2图片<br>3. 保存,作品创建成功，所有角度的图片都能正常显示,中,验证多角度图片上传
TC004,作品报价,请求获取报价-待报价状态,用户已登录，有状态为PENDING的作品,1. 进入"我的作品"页面<br>2. 找到状态为"待报价"的作品<br>3. 点击"获取报价"按钮<br>4. 确认操作,作品状态变为"报价中"（QUOTING），显示"报价中"标签,高,验证报价请求流程
TC005,作品报价,请求获取报价-已报价状态,用户已登录，有状态为QUOTED的作品,1. 进入"我的作品"页面<br>2. 找到状态为"已报价"的作品<br>3. 查看是否有"获取报价"按钮,已报价的作品不应显示"获取报价"按钮,中,验证状态限制
TC006,作品报价,后台填写价格-报价中状态,后台管理员，有状态为QUOTING的作品,1. 后台登录<br>2. 找到报价中的作品<br>3. 填写打样价格和阶梯价格<br>4. 保存,作品状态变为"已报价"（QUOTED），前端显示价格信息,高,需要后台操作，前端验证状态变化
TC007,作品报价,查看报价信息,用户已登录，有已报价的作品,1. 进入"我的作品"页面<br>2. 找到"已报价"状态的作品<br>3. 查看价格信息,显示打样价格和阶梯价格列表（如：100件起、500件起等）,高,验证报价信息展示
TC008,作品报价,设置作品名称-待报价,用户已登录，有未设置名称的作品,1. 进入"我的作品"页面<br>2. 找到待报价的作品<br>3. 点击"设置作品名称"<br>4. 输入名称并确认,作品名称设置成功，列表中显示新名称,中,验证作品名称设置
TC009,作品报价,修改作品名称-报价中,用户已登录，有报价中的作品,1. 进入"我的作品"页面<br>2. 找到报价中的作品<br>3. 点击"修改作品名称"<br>4. 修改名称并确认,作品名称修改成功,中,验证名称修改功能
TC010,打榜申请,申请打榜投票-未获价作品,用户已登录，有PENDING状态的作品,1. 进入"我的作品"页面<br>2. 找到未获价的作品<br>3. 点击"申请打榜投票"按钮<br>4. 选择打榜期<br>5. 填写参与宣言（可选）<br>6. 上传拉票视频（可选）<br>7. 提交申请,申请提交成功，状态为APPLIED，出现在"打榜管理"列表中,高,验证打榜申请流程
TC011,打榜申请,申请打榜投票-已获价作品,用户已登录，有QUOTED状态的作品,1. 进入"我的作品"页面<br>2. 找到已获价的作品<br>3. 点击"申请打榜投票"按钮<br>4. 选择打榜期并提交,申请提交成功，状态为APPLIED,高,验证已获价作品可申请打榜
TC012,打榜申请,申请打榜投票-重复申请,用户已登录，作品已申请过当前期,1. 进入"我的作品"页面<br>2. 找到已申请过打榜的作品<br>3. 再次点击"申请打榜投票"<br>4. 选择同一期提交,提示"该作品本期已报名，不可重复申请",中,验证防重复申请
TC013,打榜申请,申请打榜投票-期未启用,用户已登录，有作品,1. 进入"我的作品"页面<br>2. 点击"申请打榜投票"<br>3. 选择状态为DRAFT或DISABLED的期,提示"当前打榜期未启用，无法报名",中,验证期状态校验
TC014,打榜申请,申请打榜投票-期时间范围外,用户已登录，有作品,1. 进入"我的作品"页面<br>2. 点击"申请打榜投票"<br>3. 选择已结束或未开始的期,提示"当前不在该打榜期的有效时间内",中,验证时间范围校验
TC015,打榜审核,后台审核通过,后台管理员，有APPLIED状态的申请,1. 后台登录<br>2. 进入打榜申请列表<br>3. 找到待审核的申请<br>4. 点击"审核通过"<br>5. 填写备注（可选）<br>6. 确认,申请状态变为APPROVED，作品出现在"投票榜单"中，用户可以投票,高,需要后台操作
TC016,打榜审核,后台审核驳回,后台管理员，有APPLIED状态的申请,1. 后台登录<br>2. 进入打榜申请列表<br>3. 找到待审核的申请<br>4. 点击"审核驳回"<br>5. 填写驳回原因<br>6. 确认,申请状态变为REJECTED，作品不出现在投票榜单中,高,需要后台操作
TC017,打榜投票,查看投票榜单,用户已登录,1. 进入"打榜投票"页面（tab-rank）<br>2. 查看榜单列表,显示当前进行中的打榜期，列出所有已审核通过的作品，显示票数,高,验证投票榜单展示
TC018,打榜投票,给作品投票-首次投票,用户已登录，有进行中的打榜期,1. 进入"打榜投票"页面<br>2. 找到要投票的作品<br>3. 点击"投票"按钮<br>4. 确认,投票成功，作品票数+1，按钮变为不可点击状态（当天）,高,验证投票功能
TC019,打榜投票,给作品投票-重复投票,用户已登录，当天已投过票,1. 进入"打榜投票"页面<br>2. 找到已投过票的作品<br>3. 再次点击"投票"按钮,提示"今天已为该作品投过票了",中,验证每日限票
TC020,打榜投票,给作品投票-已结束期,用户已登录，期已结束,1. 进入"打榜投票"页面<br>2. 选择已结束的期<br>3. 尝试投票,显示"已结束"状态，不能投票,中,验证期状态限制
TC021,打榜投票,给已驳回作品投票,用户已登录，有REJECTED状态的作品,1. 后台将作品状态改为REJECTED<br>2. 前端尝试投票,提示"已驳回的作品不可投票",低,需要后台配合
TC022,打榜管理,查看我的打榜作品,用户已登录，有打榜申请记录,1. 进入"我的"页面<br>2. 点击"打榜管理"<br>3. 查看列表,显示所有打榜期的列表，包括进行中、未开始、已结束的状态,高,验证打榜管理页面
TC023,打榜管理,查看打榜详情-有作品,用户已登录，有已申请的打榜作品,1. 进入"打榜管理"页面<br>2. 点击有作品的期卡片,跳转到H5详情页，显示作品信息、票数、宣言、视频等,高,验证详情展示
TC024,打榜管理,查看打榜详情-无作品,用户已登录，期进行中但未申请,1. 进入"打榜管理"页面<br>2. 点击没有作品的期卡片,提示"请到我的作品中发布打榜作品"，可跳转到"我的作品"页面,中,验证引导流程
TC025,打榜管理,打榜下架-后台操作,后台管理员，有APPROVED状态的申请,1. 后台登录<br>2. 找到已审核通过的申请<br>3. 执行下架操作（审核驳回或期结束）,申请状态变为REJECTED或期结束，作品从投票榜单移除,高,需要后台操作
TC026,作品发布,发布上线作品-已获价,用户已登录，有QUOTED状态的作品,1. 进入"我的作品"页面<br>2. 找到"已报价"状态的作品<br>3. 点击"发布上线作品"按钮<br>4. 确认发布,作品状态变为PUBLISHED，出现在"我的发布"和"商城"中,高,验证发布流程
TC027,作品发布,发布上线作品-未获价,用户已登录，有PENDING或QUOTING状态的作品,1. 进入"我的作品"页面<br>2. 找到未获价或报价中的作品<br>3. 查看是否有"发布上线作品"按钮,未获价的作品不应显示"发布上线作品"按钮,中,验证发布条件限制
TC028,作品发布,查看我的发布列表,用户已登录，有已发布的作品,1. 进入"我的"页面<br>2. 点击"我的发布"<br>3. 查看列表,显示所有已发布的作品（PUBLISHED和OFF_SHELF状态），显示打样价格,高,验证我的发布页面
TC029,作品发布,我的发布-已上架状态,用户已登录，有PUBLISHED状态的作品,1. 进入"我的发布"页面<br>2. 切换到"已上架"标签,只显示PUBLISHED状态的作品,中,验证筛选功能
TC030,作品发布,我的发布-已下架状态,用户已登录，有OFF_SHELF状态的作品,1. 进入"我的发布"页面<br>2. 切换到"已下架"标签,只显示OFF_SHELF状态的作品,中,验证筛选功能
TC031,商城展示,查看商城列表,用户已登录或未登录,1. 进入"商城"页面（tab-mall）<br>2. 查看商品列表,显示所有已发布且已获价的作品，显示打样价格,高,验证商城展示
TC032,商城展示,商城商品详情,用户已登录或未登录,1. 进入"商城"页面<br>2. 点击商品卡片<br>3. 查看详情页,显示作品详细信息、价格、阶梯价、是否有团购等信息,高,验证商品详情
TC033,商城展示,商城-仅展示打样价格,用户已登录或未登录，有已发布作品,1. 进入"商城"页面<br>2. 查看商品价格,显示打样价格（samplePrice），不显示团购价（除非有团购）,中,验证价格展示逻辑
TC034,商城展示,商城-无报价作品不显示,后台有未获价但已发布的作品,1. 后台创建未获价但PUBLISHED的作品<br>2. 前端查看商城列表,该作品不出现在商城列表中,中,验证筛选条件
TC035,团购发起,发起团购-个人作品,用户已登录，有QUOTED和PUBLISHED状态的作品,1. 进入"我的发布"页面<br>2. 找到已发布的作品<br>3. 点击"发起团购"按钮<br>4. 填写团购信息（天数、成团说明等）<br>5. 提交,团购创建成功，状态为ACTIVE，出现在"团购发起管理"和"商城"中,高,验证团购发起流程
TC036,团购发起,发起团购-未获价作品,用户已登录，有PENDING状态的作品,1. 尝试为未获价作品发起团购,提示"作品未获价，无法发起团购",中,验证团购条件限制
TC037,团购发起,发起团购-未发布作品,用户已登录，有QUOTED但未发布的作品,1. 尝试为未发布作品发起团购,提示"作品未发布，无法发起团购",中,验证发布状态限制
TC038,团购发起,发起团购-已有团购,用户已登录，作品已有进行中的团购,1. 尝试为已有ACTIVE团购的作品再次发起,提示"作品已有进行中的团购",中,验证防重复发起
TC039,团购管理,查看团购发起管理,用户已登录，有发起的团购,1. 进入"我的"页面<br>2. 点击"团购管理"<br>3. 查看"我发起的"标签,显示所有发起的团购列表，包括进行中、已成功、已失败等状态,高,验证团购管理页面
TC040,团购管理,团购详情-参团人数,用户已登录，有发起的团购,1. 进入"团购管理"页面<br>2. 查看团购详情,显示已参团人数、距成团还差人数、截止时间等信息,中,验证团购信息展示
TC041,团购商城,商城显示团购价,用户已登录或未登录，有进行中的团购,1. 进入"商城"页面<br>2. 查看有团购的商品,商品显示"团购"标签，显示团购价和参团信息,高,验证团购价展示
TC042,团购商城,商城-团购价优先显示,用户已登录或未登录，有团购的商品,1. 进入"商城"页面<br>2. 查看有团购的商品价格,优先显示团购价，同时显示原价（打样价格）,中,验证价格展示优先级
TC043,团购商城,商城-团购状态显示,用户已登录或未登录，有不同状态的团购,1. 进入"商城"页面<br>2. 查看团购商品,显示团购状态：ACTIVE（进行中）、ENDED_SUCCESS（成团成功）、ENDED_FAIL（成团失败）,中,验证状态展示
TC044,团购下架,后台审批下架团购,后台管理员，有进行中的团购,1. 后台登录<br>2. 找到进行中的团购<br>3. 执行下架操作,团购状态变为结束，作品从团购状态恢复为普通状态,高,需要后台操作
TC045,作品下架,后台审批下架作品,后台管理员，有PUBLISHED状态的作品,1. 后台登录<br>2. 找到已发布的作品<br>3. 执行下架操作,作品状态变为OFF_SHELF，从商城移除，但仍在"我的发布"中显示（已下架状态）,高,需要后台操作
TC046,作品下架,我的发布-已下架作品,用户已登录，有下架的作品,1. 进入"我的发布"页面<br>2. 查看已下架的作品,显示OFF_SHELF状态的作品，标注"已下架",中,验证下架状态展示
TC047,状态流转,完整流程-从创建到团购,用户已登录，新账号,1. 创建作品（PENDING）<br>2. 请求报价（QUOTING）<br>3. 后台填写价格（QUOTED）<br>4. 发布作品（PUBLISHED）<br>5. 发起团购（ACTIVE）,每个步骤状态正确，最终作品在商城显示团购价,高,端到端测试
TC048,状态流转,打榜流程-从申请到投票,用户已登录，有已获价作品,1. 申请打榜（APPLIED）<br>2. 后台审核通过（APPROVED）<br>3. 出现在投票榜单<br>4. 用户投票,每个步骤状态正确，票数正确统计,高,端到端测试
TC049,异常场景,网络异常-请求报价,用户已登录，网络断开,1. 进入"我的作品"页面<br>2. 断开网络<br>3. 点击"获取报价",提示网络错误，操作失败,中,验证异常处理
TC050,异常场景,数据为空-我的作品,用户已登录，无作品,1. 进入"我的作品"页面,显示空状态提示，引导用户上传作品,中,验证空状态处理
TC051,异常场景,数据为空-我的发布,用户已登录，无发布作品,1. 进入"我的发布"页面,显示空状态提示,中,验证空状态处理
TC052,异常场景,数据为空-打榜管理,用户已登录，无打榜记录,1. 进入"打榜管理"页面,显示空状态提示或显示所有期但无作品,中,验证空状态处理
TC053,权限验证,未登录访问-我的作品,用户未登录,1. 未登录状态下尝试访问"我的作品"页面,跳转到登录页面,高,验证路由守卫
TC054,权限验证,未登录访问-我的发布,用户未登录,1. 未登录状态下尝试访问"我的发布"页面,跳转到登录页面,高,验证路由守卫
TC055,权限验证,未登录访问-打榜管理,用户未登录,1. 未登录状态下尝试访问"打榜管理"页面,跳转到登录页面,高,验证路由守卫
TC056,权限验证,未登录访问-商城,用户未登录,1. 未登录状态下访问"商城"页面,可以正常访问，但购买等功能需要登录,中,验证商城公开访问
TC057,权限验证,未登录访问-投票榜单,用户未登录,1. 未登录状态下访问"打榜投票"页面,可以正常访问，但投票需要登录,中,验证投票榜单公开访问
TC058,UI交互,切换标签-我的作品,用户已登录，有不同状态的作品,1. 进入"我的作品"页面<br>2. 切换"全部"、"待报价"、"报价中"、"已报价"标签,正确筛选显示对应状态的作品，标签数量正确,中,验证标签切换
TC059,UI交互,切换标签-我的发布,用户已登录，有不同状态的作品,1. 进入"我的发布"页面<br>2. 切换"全部"、"已上架"、"已下架"标签,正确筛选显示对应状态的作品,中,验证标签切换
TC060,UI交互,切换标签-打榜管理,用户已登录，有打榜记录,1. 进入"打榜管理"页面<br>2. 切换"全部"、"进行中"、"未开始"、"已结束"标签,正确筛选显示对应状态的期,中,验证标签切换
TC061,UI交互,下拉刷新-我的作品,用户已登录,1. 进入"我的作品"页面<br>2. 下拉刷新,列表重新加载，显示最新数据,低,验证刷新功能
TC062,UI交互,下拉刷新-商城,用户已登录或未登录,1. 进入"商城"页面<br>2. 下拉刷新,列表重新加载，显示最新数据,低,验证刷新功能
TC063,UI交互,上拉加载更多-商城,用户已登录或未登录，商品数量较多,1. 进入"商城"页面<br>2. 滚动到底部,自动加载更多商品,中,验证分页加载
TC064,UI交互,上拉加载更多-投票榜单,用户已登录或未登录，作品数量较多,1. 进入"打榜投票"页面<br>2. 滚动到底部,自动加载更多作品,中,验证分页加载
TC065,数据展示,作品图片展示,用户已登录，有作品,1. 进入"我的作品"页面<br>2. 查看作品图片,图片正常显示，支持点击查看大图,中,验证图片展示
TC066,数据展示,价格格式展示,用户已登录，有已报价作品,1. 进入"我的作品"页面<br>2. 查看价格信息,价格格式正确（如：99.90元），阶梯价格式正确,中,验证数据格式
TC067,数据展示,时间格式展示,用户已登录，有作品和打榜记录,1. 查看作品创建时间<br>2. 查看打榜期时间,时间格式友好（如：2025年1月1日 10:00）,低,验证时间格式
TC068,数据展示,票数统计,用户已登录，有打榜作品,1. 进入"打榜投票"页面<br>2. 查看作品票数,票数正确显示，实时更新,中,验证数据统计
TC069,边界测试,作品名称长度限制,用户已登录，创建作品,1. 进入"上传作品"页面<br>2. 输入超长作品名称（如200字符）<br>3. 保存,提示名称长度限制或自动截断,低,验证输入限制
TC070,边界测试,参与宣言长度限制,用户已登录，申请打榜,1. 申请打榜投票<br>2. 输入超长宣言（如500字符）<br>3. 提交,提示长度限制或自动截断,低,验证输入限制
TC071,边界测试,团购天数限制,用户已登录，发起团购,1. 发起团购<br>2. 输入超大天数（如1000天）<br>3. 提交,提示天数限制（如1-365天）,低,验证输入限制
TC072,性能测试,大量作品加载,用户已登录，有100+作品,1. 进入"我的作品"页面,页面加载流畅，无明显卡顿,低,验证性能
TC073,性能测试,大量商品加载,用户已登录或未登录，商城有100+商品,1. 进入"商城"页面,页面加载流畅，分页加载正常,低,验证性能
TC074,兼容性测试,不同手机型号,用户已登录，不同品牌手机,1. 在不同品牌手机上测试主要功能,功能正常，UI适配良好,低,验证兼容性
TC075,兼容性测试,不同微信版本,用户已登录，不同微信版本,1. 在不同微信版本上测试主要功能,功能正常，无兼容性问题,低,验证兼容性

